"Date","Price","Open","High","Low","Vol.","Change %"
"12/12/2019","6,186.50","6,161.50","6,199.40","6,157.65","","0.71%"
"12/11/2019","6,142.75","6,116.00","6,147.45","6,106.30","","0.57%"
"12/10/2019","6,108.15","6,176.75","6,185.90","6,095.60","","-1.10%"
"12/09/2019","6,176.25","6,181.00","6,224.10","6,148.00","","0.03%"
"12/06/2019","6,174.40","6,269.15","6,269.15","6,154.30","","-1.27%"
"12/05/2019","6,253.95","6,280.40","6,281.40","6,243.90","","-0.22%"
"12/04/2019","6,267.70","6,218.30","6,271.20","6,203.50","","0.60%"
"12/03/2019","6,230.55","6,297.95","6,305.15","6,217.20","","-0.92%"
"12/02/2019","6,288.20","6,328.50","6,331.55","6,268.20","","-0.53%"
"11/29/2019","6,321.65","6,314.80","6,351.75","6,291.20","","0.22%"
"11/28/2019","6,307.55","6,266.25","6,311.20","6,258.10","","0.84%"
"11/27/2019","6,255.30","6,224.55","6,261.25","6,215.95","","0.72%"
"11/26/2019","6,210.40","6,278.60","6,292.50","6,203.15","","-0.74%"
"11/25/2019","6,256.85","6,206.70","6,260.60","6,202.95","","0.97%"
"11/22/2019","6,196.50","6,198.30","6,200.40","6,155.80","","0.06%"
"11/21/2019","6,193.00","6,246.50","6,252.90","6,189.40","","-0.72%"
"11/20/2019","6,238.00","6,245.90","6,256.10","6,224.30","","0.17%"
"11/19/2019","6,227.60","6,223.40","6,232.65","6,205.15","","0.27%"
"11/18/2019","6,210.80","6,184.65","6,216.25","6,171.75","","0.66%"
"11/15/2019","6,169.80","6,171.70","6,196.85","6,151.90","","0.27%"
"11/14/2019","6,153.00","6,146.95","6,162.25","6,109.35","","0.25%"
"11/13/2019","6,137.80","6,194.75","6,206.25","6,127.00","","-0.79%"
"11/11/2019","6,186.45","6,154.75","6,191.75","6,149.70","","0.54%"
"11/08/2019","6,153.50","6,197.35","6,216.35","6,147.80","","-0.61%"
"11/07/2019","6,191.50","6,189.75","6,197.45","6,167.50","","0.66%"
"11/06/2019","6,150.60","6,165.65","6,175.60","6,136.80","","-0.13%"
"11/05/2019","6,158.45","6,234.45","6,237.40","6,148.25","","-0.93%"
"11/04/2019","6,216.30","6,250.15","6,274.00","6,211.30","","-0.10%"
"11/01/2019","6,222.50","6,215.40","6,252.55","6,211.35","","0.34%"
"10/31/2019","6,201.65","6,147.60","6,212.70","6,146.65","","1.30%"
"10/30/2019","6,122.35","6,121.20","6,134.30","6,097.25","","0.47%"
"10/29/2019","6,093.50","6,043.00","6,113.15","6,028.70","","1.81%"
"10/25/2019","5,985.40","6,007.70","6,014.40","5,966.15","","-0.15%"
"10/24/2019","5,994.15","6,026.35","6,039.20","5,972.60","","-0.21%"
